month,hour,segment,rows,rt_smape,rt_capped_smape,rt_mae,delta_mae,mean_abs_rt_actual,mean_abs_rt_error,mean_abs_delta,sign_error_rate,diagnosis_tag
2025-02,1,1_8,28,27.0471910807271,11.148442621301294,34.11550118074306,34.11550118074306,302.8728571428572,34.11550118074306,37.696785714285724,0.32142857142857145,sign error
2025-02,2,1_8,28,24.650082655675824,9.553133237816263,27.237217279522742,27.23721727952275,279.1089285714285,27.237217279522742,41.06071428571429,0.14285714285714285,month-hour seasonal concentration
2025-02,3,1_8,28,24.580729758431268,10.792665236960222,26.29346628189953,26.293466281899526,265.60964285714283,26.29346628189953,42.58464285714285,0.2857142857142857,sign error
2025-02,4,1_8,28,34.66525879241594,14.089154956593934,31.223341808691025,31.22334180869103,239.13285714285715,31.223341808691025,49.29964285714285,0.14285714285714285,month-hour seasonal concentration
2025-02,5,1_8,28,33.85038642529771,11.477677396675015,26.40304505198024,26.40304505198024,234.9210714285714,26.40304505198024,48.290714285714294,0.32142857142857145,sign error
2025-02,6,1_8,28,42.399658957957854,10.034723852884074,35.013905100106406,35.013905100106406,245.83750000000003,35.013905100106406,45.60428571428571,0.35714285714285715,sign error
2025-02,7,1_8,28,45.87118260240111,8.301928816541333,33.25040171899891,33.25040171899891,276.7757142857143,33.25040171899891,56.839999999999996,0.2857142857142857,sign error
2025-02,8,1_8,28,14.86015033051011,10.375660505565266,23.263116423903647,23.263116423903643,339.66785714285714,23.263116423903647,44.39821428571429,0.17857142857142858,month-hour seasonal concentration
2025-02,9,9_16,28,56.354676227349266,25.722828593561808,67.1600822225668,67.1600822225668,232.7060714285714,67.1600822225668,69.94714285714285,0.35714285714285715,sign error
2025-02,10,9_16,28,48.2478685809403,24.3983350322269,59.037408333864654,59.037408333864654,146.28892857142858,59.037408333864654,77.09392857142858,0.35714285714285715,sign error
2025-02,11,9_16,28,18.350685454578343,10.656859328215413,23.780259134593216,23.78025913459322,114.22357142857143,23.780259134593216,43.14964285714286,0.21428571428571427,month-hour seasonal concentration
2025-02,12,9_16,28,16.601855380553392,5.554673730880416,15.313436185218487,15.313436185218482,108.29178571428572,15.313436185218487,38.147499999999994,0.25,month-hour seasonal concentration
2025-02,13,9_16,28,16.05667061038976,6.515223943879617,15.413582928656925,15.413582928656924,104.74178571428571,15.413582928656925,40.99357142857143,0.21428571428571427,month-hour seasonal concentration
2025-02,14,9_16,28,10.882845474019494,6.276492856901511,14.84679450572429,14.84679450572429,119.95892857142857,14.84679450572429,19.351071428571423,0.21428571428571427,month-hour seasonal concentration
2025-02,15,9_16,28,38.20951276607506,3.633696513805538,22.500282298877973,22.50028229887797,116.98964285714285,22.500282298877973,23.530714285714282,0.42857142857142855,sign error
2025-02,16,9_16,28,61.89251360146101,23.856057181337963,63.99680415068509,63.99680415068508,173.88035714285715,63.99680415068509,60.39964285714285,0.42857142857142855,sign error
2025-03,17,17_24,31,24.676942329459315,19.55105743071783,50.60834036120471,50.6083403612047,328.79774193548394,50.60834036120471,81.51774193548388,0.22580645161290322,month-hour seasonal concentration
2025-03,18,17_24,31,10.307079005180688,10.307079005180688,41.29066580740745,41.29066580740745,404.5574193548387,41.29066580740745,52.064193548387095,0.25806451612903225,month-hour seasonal concentration
2025-03,19,17_24,31,6.382558013421862,6.382558013421862,28.709337483624363,28.709337483624356,443.98999999999995,28.709337483624363,47.66806451612902,0.16129032258064516,month-hour seasonal concentration
2025-03,20,17_24,31,11.071485465099817,11.071485465099817,36.76720924963868,36.76720924963869,430.0906451612904,36.76720924963868,49.46612903225806,0.12903225806451613,month-hour seasonal concentration
2025-03,21,17_24,31,7.282800146069031,7.282800146069031,29.158385863898527,29.158385863898516,417.26161290322574,29.158385863898527,57.68290322580644,0.1935483870967742,month-hour seasonal concentration
2025-03,22,17_24,31,8.998940989937559,8.998940989937559,24.06704511335173,24.067045113351735,377.2574193548388,24.06704511335173,49.744516129032256,0.22580645161290322,month-hour seasonal concentration
2025-03,23,17_24,31,13.090414949415596,11.532234493715944,31.036489053634934,31.03648905363493,356.9545161290322,31.036489053634934,44.561290322580646,0.22580645161290322,month-hour seasonal concentration
2025-03,24,17_24,31,26.66339768539406,14.877717317382048,39.689550632265785,39.68955063226578,322.281935483871,39.689550632265785,77.0658064516129,0.16129032258064516,month-hour seasonal concentration
2025-03,1,1_8,31,38.27318148080235,18.75771004296209,43.80666254890769,43.806662548907696,280.1441935483871,43.80666254890769,63.17258064516129,0.3548387096774194,sign error
2025-03,2,1_8,31,49.017500339789436,25.873833528689097,60.13069049491599,60.13069049491599,253.25193548387094,60.13069049491599,64.0225806451613,0.1935483870967742,ramp/shock
2025-03,3,1_8,31,38.04989797699251,15.217478370572321,35.74048819103247,35.74048819103248,258.8748387096774,35.74048819103247,57.62290322580646,0.25806451612903225,month-hour seasonal concentration
2025-03,4,1_8,31,39.392832454193936,13.692954237144356,32.49277521148102,32.49277521148101,267.85903225806453,32.49277521148102,47.30387096774195,0.1935483870967742,month-hour seasonal concentration
2025-03,5,1_8,31,26.610293083705237,12.63133772654874,31.348454690025978,31.348454690025974,295.97129032258067,31.348454690025978,45.35354838709677,0.25806451612903225,month-hour seasonal concentration
2025-03,6,1_8,31,13.873285626292704,7.421672777790618,22.450398531792548,22.450398531792537,318.00967741935483,22.450398531792548,42.35096774193548,0.25806451612903225,month-hour seasonal concentration
2025-03,7,1_8,31,12.734773904509826,9.04404799455984,26.840790538213827,26.840790538213827,364.8935483870968,26.840790538213827,46.09741935483872,0.1935483870967742,month-hour seasonal concentration
2025-03,8,1_8,31,38.69922611525227,36.32823861653075,76.80980321455404,76.80980321455407,283.1229032258065,76.80980321455404,101.2490322580645,0.16129032258064516,ramp/shock
2025-03,9,9_16,31,62.69350237407262,29.511669544347843,94.55997205597409,94.55997205597409,197.09193548387094,94.55997205597409,119.20935483870969,0.3225806451612903,sign error
2025-03,10,9_16,31,37.7797921941598,13.930400432020459,46.11731683897444,46.11731683897444,126.38903225806452,46.11731683897444,52.402580645161294,0.4838709677419355,sign error
2025-03,11,9_16,31,9.766374869074907,5.036400255516155,17.056579888202233,17.056579888202233,119.47967741935484,17.056579888202233,32.27225806451613,0.6451612903225806,sign error
